time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,age,ehcp_or_statement,num_caseload,pc_caseload,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 16 to 19,Total,445,20.5353,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 20 to 25,EHCP,90,4.15321,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 20 to 25,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 20 to 25,Total,90,4.15321,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 5 to 10,EHCP,691,31.8874,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 5 to 10,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Age 5 to 10,Total,691,31.8874,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Total,EHCP,2167,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Total,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Total,Total,2167,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Under 5,EHCP,97,4.47623,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Under 5,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,Under 5,Total,97,4.47623,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 11 to 15,EHCP,652,38.19566,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 11 to 15,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 11 to 15,Total,652,38.19566,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Age 16 to 19,EHCP,380,22.26128,,,,,,,,
